doc_id,title,path,published,summary,matched_query,xml_link,status,http_code,file
uksi_2023_1025,The Response to the Committee on Climate Change Report (Extension of Period) Order 2023,uksi/2023/1025,2023-09-21T14:31:01.646215+01:00,"Under section 37 of the Climate Change Act 2008 (c. 27) (“the Act”) the Secretary of State must lay before Parliament a response to the points raised by the report of the Committee on Climate Change (the “Committee”) under section 36 of the Act. This Order extends the period within which the Secretary of State must lay the response to the Committee’s 2023 report, changing the final day of that period from 15th October 2023 to 31st October 2023.",uksi:climate change,http://www.legislation.gov.uk/uksi/2023/1025/made/data.xml,success,200,corpus_raw\uksi_2023_1025.xml
uksi_2023_118,The Climate Change (Targeted Greenhouse Gases) Order 2023,uksi/2023/118,2023-02-07T04:08:25.99195+01:00,This Order makes provision in respect of emissions for the purposes of carbon reporting under the Climate Change Act 2008 (“the Act”).,uksi:climate change;uksi:greenhouse gas,http://www.legislation.gov.uk/uksi/2023/118/made/data.xml,success,200,corpus_raw\uksi_2023_118.xml
uksi_2022_982,The Response to the Committee on Climate Change Report (Extension of Period) Order 2022,uksi/2022/982,2022-09-23T15:09:24.43434+01:00,"Under section 37 of the Climate Change Act 2008 (c. 27) (“the Act”) the Secretary of State must lay before Parliament a response to the points raised by the report of the Committee on Climate Change (the “Committee”) under section 36 of the Act. This Order extends the period within which the Secretary of State must lay the response to the Committee’s 2022 report, changing the final day of that period from 15th October 2022 to 31st March 2023.",uksi:climate change,http://www.legislation.gov.uk/uksi/2022/982/made/data.xml,success,200,corpus_raw\uksi_2022_982.xml
uksi_2022_733,"The Occupational Pension Schemes (Climate Change Governance and Reporting) (Amendment, Modification and Transitional Provision) Regulations 2022",uksi/2022/733,2022-07-04T10:54:59.089871+01:00,These Regulations make amendments and modifications to the Occupational Pension Schemes (Climate Change Governance and Reporting) Regulations 2021 (S.I. 2021/839) (“the Principal Regulations”). The Regulations also make transitional provision.,uksi:climate change,http://www.legislation.gov.uk/uksi/2022/733/made/data.xml,success,200,corpus_raw\uksi_2022_733.xml
uksi_2021_1090,The Conference of the Parties to the United Nations Framework Convention on Climate Change (Immunities and Privileges) Order 2021,uksi/2021/1090,2021-10-01T11:33:36.427585+01:00,"This Order confers immunities and privileges in relation to the Conference of the Parties to the United Nations Framework Convention on Climate Change (“the COP”). Privileges and immunities are conferred on representatives of its members and other representatives in attendance at the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change to be held in Glasgow between 31st October and 12th November 2021. This includes the 16th session of the Conference of the Parties serving as the meeting of the Parties to the Kyoto Protocol, the third session of the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement, and all pre-sessional and other additional meetings convened in the United Kingdom in connection with the Conference. These privileges and immunities are conferred in accordance with a Host Country Agreement (CP 454), which has been negotiated between Her Majesty’s Government and the UNFCCC secretariat (as defined in article 2). This Order will give effect to that agreement.",uksi:climate change,http://www.legislation.gov.uk/uksi/2021/1090/made/data.xml,success,200,corpus_raw\uksi_2021_1090.xml
uksi_2021_857,The Occupational Pension Schemes (Climate Change Governance and Reporting) (Miscellaneous Provisions and Amendments) Regulations 2021,uksi/2021/857,2021-07-19T11:12:56.531012+01:00,These Regulations prescribe matters about which trustees of certain occupational pension schemes are required to have knowledge and understanding and make amendments to the Occupational and Personal Pension Schemes (Disclosure of Information) Regulations 2013 (S.I. 2013/2734) (“the Disclosure Regulations 2013”) in consequence of section 124 of the Pension Schemes Act 2021 (c. 1) and new climate change governance and reporting requirements introduced by the Occupational Pension Schemes (Climate Change Governance and Reporting) Regulations 2021 (S.I. 2021/839) (“the Climate Change Governance and Reporting Regulations 2021”).,uksi:climate change,http://www.legislation.gov.uk/uksi/2021/857/made/data.xml,success,200,corpus_raw\uksi_2021_857.xml
uksi_2021_839,The Occupational Pension Schemes (Climate Change Governance and Reporting) Regulations 2021,uksi/2021/839,2021-07-14T13:35:41.114579+01:00,"These Regulations impose requirements on trustees of certain occupational pension schemes, including trustees of authorised master trust schemes and trustees of schemes authorised to provide collective money purchase benefits, with a view to ensuring that there is effective governance of those schemes with respect to the effects of climate change. The Regulations also impose associated reporting and publication requirements on the trustees.",uksi:climate change,http://www.legislation.gov.uk/uksi/2021/839/2023-02-03/data.xml,success,200,corpus_raw\uksi_2021_839.xml
uksi_2021_749,The Climate Change Act 2008 (Credit Limit) Order 2021,uksi/2021/749,2021-06-28T03:02:51.185432+01:00,"The UK’s progress against its emission reduction targets is assessed by reference to the ‘net UK carbon account’. Under section 27 of the Climate Change Act 2008 (c. 27) (“the Act”) the net UK carbon account is reduced when carbon units are credited to it. This Order sets a limit on the net amount of carbon units that may be credited to the net UK carbon account for the 2023-2027 budgetary period of 55,000,000 carbon units. Article 2(2) sets out certain carbon units which are excluded from the level of the limit. Those are carbon units credited to and debited from the net UK carbon account as a result of the operation of the EU Emissions Trading System during the 2023-2027 budgetary period in accordance with regulations made under section 27(3) of the Act. Carbon units are defined in regulation 3 of the Carbon Accounting Regulations 2009 (S.I. 2009/1257), made under section 26(1) of the Act.",uksi:climate change,http://www.legislation.gov.uk/uksi/2021/749/made/data.xml,success,200,corpus_raw\uksi_2021_749.xml
uksi_2021_675,The Climate Change Levy (General) (Amendment and Modification) Regulations 2021,uksi/2021/675,2021-06-08T11:46:54.131564+01:00,These Regulations amend the Climate Change Levy (General) Regulations 2001 (S.I. 2001/838) to update references in those Regulations to the Combined Heat and Power Quality Assurance Standard (“CHPQA”) and to certificates issued under it.,uksi:climate change,http://www.legislation.gov.uk/uksi/2021/675/made/data.xml,success,200,corpus_raw\uksi_2021_675.xml
wsi_2021_338,The Climate Change (Interim Emissions Targets) (Wales) (Amendment) Regulations 2021 / Rheoliadau Newid yn yr Hinsawdd (Targedau Allyriadau Interim) (Cymru) (Diwygio) 2021,wsi/2021/338,2021-03-18T04:00:57.418182+01:00,"These Regulations make amendments to the Climate Change (Interim Emissions Targets) (Wales) Regulations 2018, which set the interim emissions targets under Part 2 of the Environment (Wales) Act 2016 (“the Act”).,Mae’r Rheoliadau hyn yn gwneud diwygiadau i Reoliadau Newid yn yr Hinsawdd (Targedau Allyriadau Interim) (Cymru) 2018, sy’n gosod y targedau allyriadau interim o dan Ran 2 o Ddeddf yr Amgylchedd (Cymru) 2016 (“y Ddeddf”).",uksi:climate change,http://www.legislation.gov.uk/wsi/2021/338/made/data.xml,success,200,corpus_raw\wsi_2021_338.xml
